PA,SZ,0_to_4,5_to_9,10_to_14,15_to_19,20_to_24,25_to_29,30_to_34,35_to_39,40_to_44,45_to_49,50_to_54,55_to_59,60_to_64,65_to_69,70_to_74,75_to_79,80_to_84,85_to_89,90_and_over
Sengkang,Fernvale,5160,4950,3480,2570,2100,2590,5730,6980,5360,3970,3000,2590,2150,1740,1210,750,430,280,160
Sengkang,Lorong Halus North,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sengkang,Rivervale,2680,3210,3710,4020,4180,4040,4110,4410,4760,5200,4610,4700,4140,2810,1720,920,530,280,170
Sengkang,Sengkang Town Centre,3630,3580,3570,3680,3900,4250,5440,5520,4880,4890,4470,4230,3740,2490,1470,880,560,290,190
Sengkang,Sengkang West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serangoon,Lorong Chuan,290,370,480,580,640,650,460,450,550,680,700,720,630,430,290,190,180,80,70
Serangoon,Seletar Hills,460,600,740,880,1090,1130,790,700,880,1050,1060,1180,1120,950,650,440,280,150,90
Serangoon,Serangoon Central,700,790,950,1230,1370,2080,1920,1560,1460,1840,1700,2120,2390,1870,1310,730,510,270,140
Serangoon,Serangoon Garden,1010,1240,1590,1910,2350,2670,2260,2000,2270,2580,2620,2940,3260,2860,1950,1230,890,530,320
Serangoon,Serangoon North,520,630,850,1010,1350,1410,960,1000,970,1160,1420,1450,1320,950,520,290,190,120,30
Serangoon,Serangoon North Ind Estate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serangoon,Upper Paya Lebar,540,720,710,780,970,1460,1240,1030,1090,1080,1140,1280,1360,1070,760,460,300,170,80
Simpang,Pulau Seletar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Simpang,Simpang North,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Simpang,Simpang South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Simpang,Tanjong Irau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Singapore River,Boat Quay,0,0,0,0,0,0,0,10,0,10,10,10,10,0,10,10,0,0,0
Singapore River,Clarke Quay,0,0,0,0,0,0,10,10,10,10,0,10,0,0,0,0,0,0,10
Singapore River,Robertson Quay,220,200,160,110,80,110,170,320,400,340,200,160,120,80,70,30,20,10,10
Southern Islands,Sentosa,120,110,110,90,90,70,80,160,190,250,190,180,110,70,40,20,0,0,0
Southern Islands,Southern Group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Straits View,Straits View,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sungei Kadut,Gali Batu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sungei Kadut,Kranji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sungei Kadut,Pang Sua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sungei Kadut,Reservoir View,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sungei Kadut,Turf Club,20,40,20,40,50,60,40,40,40,50,50,50,50,40,40,30,30,10,0
Tampines,Simei,1490,1740,2000,2240,2800,3350,2480,2780,2950,3080,3010,3520,3130,2350,1420,780,530,310,200
Tampines,Tampines East,5700,5480,6060,7170,9850,11210,9570,9080,8150,8670,10350,11590,11160,8120,4800,2680,1760,970,530
Tampines,Tampines North,300,150,90,70,90,330,420,220,130,100,140,70,90,80,50,30,40,40,10
Tampines,Tampines West,3800,3740,3840,4400,5660,6410,6150,5780,5340,5450,5780,6580,6380,4600,2680,1450,940,520,280
Tampines,Xilin,30,70,70,120,170,160,100,70,80,120,160,220,170,80,60,20,20,10,0
Tanglin,Chatsworth,360,430,410,290,250,300,430,610,770,720,550,410,330,310,240,160,90,60,30
Tanglin,Nassim,520,830,620,540,460,440,480,720,920,910,740,630,550,490,350,200,120,80,70
Tanglin,Ridout,70,90,70,70,70,80,100,90,120,110,120,110,100,90,80,40,40,20,20
Tanglin,Tyersall,160,230,230,200,210,230,210,230,290,350,330,310,230,210,160,100,70,30,20
Tengah,Tengah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toa Payoh,Bidadari,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toa Payoh,Boon Teck,510,500,570,720,760,1000,890,780,790,1000,1040,1220,1170,920,810,640,480,290,170
Toa Payoh,Braddell,360,420,470,460,580,690,590,630,670,760,760,760,730,660,490,380,280,150,110
Toa Payoh,Joo Seng,370,400,440,340,410,560,690,610,650,660,560,570,580,480,350,250,190,110,50
Toa Payoh,Kim Keat,210,290,300,340,470,660,470,460,510,620,580,690,740,570,450,320,220,100,60
Toa Payoh,Lorong 8 Toa Payoh,170,200,260,330,440,490,380,410,490,560,550,650,600,580,420,400,270,150,80
Toa Payoh,Pei Chun,290,370,480,550,570,600,520,600,760,910,920,860,830,670,570,490,340,150,90
Toa Payoh,Potong Pasir,370,470,450,550,510,740,800,830,880,900,860,870,1000,970,660,420,220,130,50
Toa Payoh,Sennett,210,240,280,290,310,390,400,390,400,400,330,370,390,340,260,180,120,100,80
Toa Payoh,Toa Payoh Central,1120,1520,1340,1350,1540,1810,1670,2200,2410,2370,2130,2070,1880,1500,1200,980,710,370,200
Toa Payoh,Toa Payoh West,560,480,510,570,650,940,1130,960,1050,1100,1030,1110,1080,970,840,660,520,270,140
Toa Payoh,Woodleigh,100,140,170,150,150,190,130,200,200,220,180,170,160,130,80,30,10,10,0
Tuas,Tengeh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuas,Tuas Bay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuas,Tuas North,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuas,Tuas Promenade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuas,Tuas View,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuas,Tuas View Extension,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Islands,Jurong Island And Bukom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Islands,Semakau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Islands,Sudong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Water Catchment,Western Water Catchment,40,40,30,30,140,40,40,70,70,40,40,60,30,10,0,0,0,0,0
Woodlands,Greenwood Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Woodlands,Midview,1650,1650,1940,2770,3530,3070,2530,2290,2100,2740,3410,2840,1990,1280,710,480,290,150,100
Woodlands,North Coast,310,360,500,730,1000,1040,690,680,720,870,1140,1190,1010,820,610,370,230,110,40
Woodlands,Senoko West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Woodlands,Woodgrove,1040,1370,1810,2510,3460,3050,2030,2010,2270,2750,3450,2860,2310,1430,820,460,330,170,110
Woodlands,Woodlands East,5010,5400,6160,7260,7860,7540,7330,7330,7680,8630,8140,7310,5380,3400,1930,1090,650,350,170
Woodlands,Woodlands Regional Centre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Woodlands,Woodlands South,2190,2730,2950,3100,2910,2600,2950,3610,3560,3620,3100,2510,1940,1460,870,470,280,140,40
Woodlands,Woodlands West,1410,1320,1520,1910,2640,2920,2350,2010,1950,2280,2800,2960,2600,1790,1180,740,470,230,90
Yishun,Khatib,340,310,420,500,670,970,770,620,590,700,790,1100,970,770,430,250,140,80,30
Yishun,Lower Seletar,2180,1540,1080,920,720,1400,2600,2100,1350,1210,820,680,470,340,230,100,110,20,20
Yishun,Nee Soon,30,50,60,50,50,60,60,50,60,100,70,100,60,50,40,40,10,0,0
Yishun,Northland,990,1090,1410,1640,1960,2410,1940,1900,1950,2070,2260,2690,2390,1710,1000,570,350,160,90
Yishun,Springleaf,130,180,230,290,340,390,250,190,260,330,300,370,330,280,230,100,70,30,20
Yishun,Yishun Central,60,90,100,90,130,180,150,150,160,140,150,200,150,130,60,50,20,0,10
Yishun,Yishun East,4620,4300,3120,3020,3270,4120,5820,6290,4650,3950,3870,4050,3270,2410,1400,740,450,230,110
Yishun,Yishun South,1870,1640,1970,2140,2580,3920,3450,2890,2800,3000,3090,3730,3180,2400,1520,910,530,280,160
Yishun,Yishun West,1890,2070,2620,3000,3440,3970,3610,3750,3960,4280,4530,4870,4490,3420,2080,1360,840,430,250
